tool_id,data_tapor,repository_tapor,url_tapor,name_tapor-api,detail,name,QId,url_image,star_average,_ - tools - _ - attribute_value_ids - attribute_value_ids,_ - attribute_values - _ - id,_ - attribute_values - _ - name
,,,,,,,,,,82,,
120,"{""id"":120,""user_id"":null,""name"":""Apache Open NLP"",""detail"":""\u003cp\u003eApache OpenNLP is a free, open source toolkit for processing natural language text, based on machine learning. It includes common natural language processing functions such as tokenization, sentence segmentation, part-of-speech tagging, named entity extraction, chunking, parsing, and coreference resolution.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/120.jpg"",""creators_name"":""The Apache Software Foundation"",""creators_email"":"""",""creators_url"":""http://www.apache.org/"",""star_average"":0.0,""url"":""http://opennlp.apache.org/index.html"",""last_updated"":""2012-07-13"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/120-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://opennlp.apache.org/index.html,Apache Open NLP,"Apache OpenNLP is a free, open source toolkit for processing natural language text, based on machine learning. It includes common natural language processing functions such as tokenization, sentence segmentation, part-of-speech tagging, named entity extraction, chunking, parsing, and coreference resolution.",Apache OpenNLP,,https://tapor.ca/images/tools/0/120.jpg,0,82,,
,,,,,,,,,,63,,
,,,,,,,,,,79,,
121,"{""id"":121,""user_id"":null,""name"":""Apache UIMA"",""detail"":""\u003cp\u003eApache UIMA (Unstructured Information Management application) is a software system for analyzing large amounts of unstructured data, such as a plain text document, and identifying entities, such as persons, places, organizations, or relations between entities. Discrete components (written in Java or C++) may be used within the application, such as language identification or entitiy detection. Each component provides self-describing metadata via XML descriptor files.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/121.jpg"",""creators_name"":""The Apache Software Foundation"",""creators_email"":"""",""creators_url"":""http://www.apache.org/"",""star_average"":0.0,""url"":""http://uima.apache.org/"",""last_updated"":""2018-10-30"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/121-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://uima.apache.org/,Apache UIMA,"Apache UIMA (Unstructured Information Management application) is a software system for analyzing large amounts of unstructured data, such as a plain text document, and identifying entities, such as persons, places, organizations, or relations between entities. Discrete components (written in Java or C++) may be used within the application, such as language identification or entitiy detection. Each component provides self-describing metadata via XML descriptor files.",Apache UIMA,,https://tapor.ca/images/tools/0/121.jpg,0,1,,
,,,,,,,,,,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
,,,,,,,,,,147,,
122,"{""id"":122,""user_id"":1,""name"":""Cytoscape"",""detail"":""\u003cp\u003eCytoscape is an open source software platform for visualizing data networks and pathways. Though designed for bioinformatic systems, it has been generalized to complex network analysis and has applications extending to the semantic web. Its core distribution has basic features for data integration and visualization, with additional features available via Java-based plugins.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/122.jpg"",""creators_name"":""Cytoscape Consortium"",""creators_email"":"""",""creators_url"":""http://www.cytoscape.org/"",""star_average"":0.0,""url"":""http://cytoscape.org/"",""last_updated"":""2018-10-05"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/122-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://cytoscape.org/,Cytoscape,"Cytoscape is an open source software platform for visualizing data networks and pathways. Though designed for bioinformatic systems, it has been generalized to complex network analysis and has applications extending to the semantic web. Its core distribution has basic features for data integration and visualization, with additional features available via Java-based plugins.",Cytoscape,,https://tapor.ca/images/tools/0/122.jpg,0,4,,
,,,,,,,,,,79,,
128,"{""id"":128,""user_id"":1,""name"":""JavaScript InfoVis Toolkit"",""detail"":""\u003cp\u003eThe JavaScript InfoVis Toolkit is a free set of tools for creating interactive data visualizations compatible with web standards. Visualization options include bar graphs, radial graphs, tree graphs and more, many integrating animations.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/128.jpg"",""creators_name"":""Nicolas Garcia Belmonte"",""creators_email"":""philogb@gmail.com"",""creators_url"":""http://philogb.github.com/"",""star_average"":0.0,""url"":""http://philogb.github.io/jit/"",""last_updated"":""2016-02-15"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/128-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://philogb.github.io/jit/,JavaScript InfoVis Toolkit,"The JavaScript InfoVis Toolkit is a free set of tools for creating interactive data visualizations compatible with web standards. Visualization options include bar graphs, radial graphs, tree graphs and more, many integrating animations.",JavaScript InfoVis Toolkit,,https://tapor.ca/images/tools/0/128.jpg,0,4,,
,,,,,,,,,,79,,
,,,,,,,,,,83,,
131,"{""id"":131,""user_id"":null,""name"":""RapidMiner"",""detail"":""\u003cp\u003eRapidMiner is an open source data mining tool with a GUI interface, available in both a free, unsupported 'community version' and a for-pay, fully supported 'enterprise edition'. It utilizes a standardized XML interchange format for processing, and is compatible with common relational databases and spreadsheet applications.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/131.jpg"",""creators_name"":""Rapid-I"",""creators_email"":"""",""creators_url"":""http://rapid-i.com/"",""star_average"":0.0,""url"":""https://rapidminer.com/products/studio/"",""last_updated"":""2018-10-05"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/131-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,https://rapidminer.com/products/studio/,RapidMiner,"RapidMiner is an open source data mining tool with a GUI interface, available in both a free, unsupported 'community version' and a for-pay, fully supported 'enterprise edition'. It utilizes a standardized XML interchange format for processing, and is compatible with common relational databases and spreadsheet applications.",RapidMiner,,https://tapor.ca/images/tools/0/131.jpg,0,4,,
,,,,,,,,,,79,,
145,"{""id"":145,""user_id"":null,""name"":""GeoTime"",""detail"":""\u003cp\u003eGeoTime is a tool for visualizing complex event-related data available for purchase. It can simultaneously visualize geospatial, temporal and link data to display activities and events. Data can be imported from ArcGIS or Microsoft Excel.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/145.jpg"",""creators_name"":""Oculus Info Inc."",""creators_email"":""info@oculusinfo.com"",""creators_url"":""http://www.oculusinfo.com/"",""star_average"":0.0,""url"":""http://www.geotime.com/"",""last_updated"":""2018-10-05"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/145-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://www.geotime.com/,GeoTime,"GeoTime is a tool for visualizing complex event-related data available for purchase. It can simultaneously visualize geospatial, temporal and link data to display activities and events. Data can be imported from ArcGIS or Microsoft Excel.",Geotime,,https://tapor.ca/images/tools/0/145.jpg,0,4,,
,,,,,,,,,,79,,
146,"{""id"":146,""user_id"":1,""name"":""Graphviz"",""detail"":""\u003cp\u003eGraphviz is a free, open source graph visualization tool in constant development since 1988. It represents structural information as diagrams of abstract graphs and networks.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/146.jpg"",""creators_name"":""AT\u0026T Research"",""creators_email"":"""",""creators_url"":""http://www.research.att.com/"",""star_average"":0.0,""url"":""http://www.graphviz.org/"",""last_updated"":""2018-10-05"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/146-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://www.graphviz.org/,Graphviz,"Graphviz is a free, open source graph visualization tool in constant development since 1988. It represents structural information as diagrams of abstract graphs and networks.",Graphviz,,https://tapor.ca/images/tools/0/146.jpg,0,4,,
,,,,,,,,,,79,,
148,"{""id"":148,""user_id"":null,""name"":""AntConc"",""detail"":""AntConc is free concordance software. It is multi-platform and easy to deploy and use.\n\nAntConc is part of a suite of related tools for text processing and analysis, including applications for parallel corpus analysis, word profiling, PDF to text conversion, text structure analysis, detecting and converting character encodings, Japanese and Chinese segmenter and tokenizer, wordclass tagger, and spelling variant anaysis. The developer is currently drafting a more explicit licence for the use of the software."",""is_approved"":true,""image_url"":""images/tools/0/148.jpg"",""creators_name"":""Laurence Anthony"",""creators_email"":""anthony@waseda.jp"",""creators_url"":""http://www.antlab.sci.waseda.ac.jp/index.html"",""star_average"":0.0,""url"":""http://www.laurenceanthony.net/software/antconc/"",""last_updated"":""2019-08-19"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/148-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://www.laurenceanthony.net/software/antconc/,AntConc,"AntConc is free concordance software. It is multi-platform and easy to deploy and use.

AntConc is part of a suite of related tools for text processing and analysis, including applications for parallel corpus analysis, word profiling, PDF to text conversion, text structure analysis, detecting and converting character encodings, Japanese and Chinese segmenter and tokenizer, wordclass tagger, and spelling variant anaysis. The developer is currently drafting a more explicit licence for the use of the software.",AntConc,,https://tapor.ca/images/tools/0/148.jpg,0,1,,
,,,,,,,,,,79,,
,,,,,,,,,,147,,
150,"{""id"":150,""user_id"":null,""name"":""CLAWS Part-of-Speech Tagger"",""detail"":""\u003cp\u003eCLAWS (Constituent Likelihood Automatic Word-tagging System) is a free parts-of-speech tagging tool from Lancaster University. It has been continuously developed since the 1980s, has consistently achieved 96-97% accuracy, and has been applied to the over 100 million word British National Corpus. This tool is available for download in addition to an on-line 'trial' version.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/150.jpg"",""creators_name"":""UCREL"",""creators_email"":"""",""creators_url"":""http://ucrel.lancs.ac.uk/"",""star_average"":0.0,""url"":""http://ucrel.lancs.ac.uk/claws/"",""last_updated"":""2013-05-16"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/150-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://ucrel.lancs.ac.uk/claws/,CLAWS Part-of-Speech Tagger,"CLAWS (Constituent Likelihood Automatic Word-tagging System) is a free parts-of-speech tagging tool from Lancaster University. It has been continuously developed since the 1980s, has consistently achieved 96-97% accuracy, and has been applied to the over 100 million word British National Corpus. This tool is available for download in addition to an on-line 'trial' version.",CLAWS (linguistics),,https://tapor.ca/images/tools/0/150.jpg,0,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
152,"{""id"":152,""user_id"":null,""name"":""IBM: Many Eyes"",""detail"":""\u003cp\u003eMany Eyes is a free collection of data visualization tools enabling exploration and discussion of the data. Users who post comments on a visualization may also save their view for others to see in conjunction with their comment. Visualizations can be created from the data sets loaded into the site, or one can upload a new dataset for use. \u003cem\u003eNote\u003c/em\u003e: Uploaded datasets are shared with the site.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/152.jpg"",""creators_name"":""IBM Visualization and Behavior Group"",""creators_email"":"""",""creators_url"":""http://researcher.watson.ibm.com/researcher/view_project.php?id=3419"",""star_average"":0.0,""url"":""http://www.manyeyes.com/software/analytics/manyeyes/#/"",""last_updated"":""2018-10-05"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/152-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://www.manyeyes.com/software/analytics/manyeyes/#/,IBM: Many Eyes,"Many Eyes is a free collection of data visualization tools enabling exploration and discussion of the data. Users who post comments on a visualization may also save their view for others to see in conjunction with their comment. Visualizations can be created from the data sets loaded into the site, or one can upload a new dataset for use. Note: Uploaded datasets are shared with the site.",ManyEyes,,https://tapor.ca/images/tools/0/152.jpg,0,4,,
,,,,,,,,,,79,,
162,"{""id"":162,""user_id"":null,""name"":""I Write Like"",""detail"":""\u003cp\u003eI Write Like is a free, web-based text analysis tool that compares a user-provided text to the prose of well-known writers using statistics, word choice and writing style analysis. It then reports on which writer the text most resembles. The tool requires at least two paragraphs of text for best results. At this time, the results are limited to the name of a writer, without offering more detailed insight into the analysis; the tool appears to be offered primarily to promote the Memoires journaling software.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/162.jpg"",""creators_name"":""Coding Robots"",""creators_email"":""iwl@codingrobots.com"",""creators_url"":""http://www.codingrobots.com/"",""star_average"":1.5,""url"":""http://iwl.me/"",""last_updated"":""2018-09-18"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/162-thumb.jpg"",""rating_count"":2,""recipes"":""""}",,http://iwl.me/,I Write Like,"I Write Like is a free, web-based text analysis tool that compares a user-provided text to the prose of well-known writers using statistics, word choice and writing style analysis. It then reports on which writer the text most resembles. The tool requires at least two paragraphs of text for best results. At this time, the results are limited to the name of a writer, without offering more detailed insight into the analysis; the tool appears to be offered primarily to promote the Memoires journaling software.",I Write Like,,https://tapor.ca/images/tools/0/162.jpg,1.5,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
171,"{""id"":171,""user_id"":1,""name"":""Gephi"",""detail"":""\u003cp\u003eGephi is a free, open source interactive visualization and data exploration tool. Users can manipulate the display to uncover new facets of the data, enabling intutive exploration.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/171.jpg"",""creators_name"":""Gephi Consortium"",""creators_email"":"""",""creators_url"":""https://consortium.gephi.org/"",""star_average"":5.0,""url"":""https://gephi.github.io/"",""last_updated"":""2018-10-17"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/171-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,https://gephi.github.io/,Gephi,"Gephi is a free, open source interactive visualization and data exploration tool. Users can manipulate the display to uncover new facets of the data, enabling intutive exploration.",Gephi,,https://tapor.ca/images/tools/0/171.jpg,5,4,,
,,,,,,,,,,79,,
,,,,,,,,,,81,,
,,,,,,,,,,82,,
,,,,,,,,,,88,,
181,"{""id"":181,""user_id"":null,""name"":""Apache Xalan"",""detail"":""\u003cp\u003eApache Xalan is a free XSLT processor for transforming XML documents into HTML, text or other XML document types, offered by the Apache Software Foundation. This tool uses the Xerces XML parser to converty XML into internal nodesets, and is offered as both C++ and Java implementations.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/181.jpg"",""creators_name"":""Apache Xalan Project"",""creators_email"":"""",""creators_url"":""http://http://xalan.apache.org/"",""star_average"":0.0,""url"":""http://xalan.apache.org/"",""last_updated"":""2012-10-18"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/181-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://xalan.apache.org/,Apache Xalan,"Apache Xalan is a free XSLT processor for transforming XML documents into HTML, text or other XML document types, offered by the Apache Software Foundation. This tool uses the Xerces XML parser to converty XML into internal nodesets, and is offered as both C++ and Java implementations.",Apache Xalan,,https://tapor.ca/images/tools/0/181.jpg,0,91,,
184,"{""id"":184,""user_id"":1,""name"":""ATLAS.ti"",""detail"":""\u003cp\u003eATLAS.ti is a tool for systematic qualitative data analysis released under a for-pay license. It offers multi-window frames, overviews generated through interactive network views utilizing visual interconnections, and cloud views and reports. A free demo version is also availalble, and does not include a time limit. This tool was first developed in 1989 and has been in continous development since. The web edition has been available since 2002.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/184.jpg"",""creators_name"":""ATLAS.ti Scientific Software Development GmbH"",""creators_email"":"""",""creators_url"":""http://www.atlasti.com/copyright.html"",""star_average"":0.0,""url"":""http://atlasti.com/?q=/index.html"",""last_updated"":""2018-09-18"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/184-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://atlasti.com/?q=/index.html,ATLAS.ti,"ATLAS.ti is a tool for systematic qualitative data analysis released under a for-pay license. It offers multi-window frames, overviews generated through interactive network views utilizing visual interconnections, and cloud views and reports. A free demo version is also availalble, and does not include a time limit. This tool was first developed in 1989 and has been in continous development since. The web edition has been available since 2002.",ATLAS.ti,,https://tapor.ca/images/tools/0/184.jpg,0,4,,
,,,,,,,,,,79,,
,,,,,,,,,,80,,
188,"{""id"":188,""user_id"":1,""name"":""Diction"",""detail"":""\u003cp\u003eDiction is a text analysis program for purchase, designed to determine the tone of a text, and generate reports and statistical analysis from it. DICTION versions are available for Windows® on a PC and Mac®.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/188.jpg"",""creators_name"":""Digitex, Inc."",""creators_email"":"""",""creators_url"":""http://www.dictionsoftware.com/about-us/"",""star_average"":0.0,""url"":""http://www.dictionsoftware.com/"",""last_updated"":""2018-09-27"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/188-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://www.dictionsoftware.com/,Diction,"Diction is a text analysis program for purchase, designed to determine the tone of a text, and generate reports and statistical analysis from it. DICTION versions are available for Windows® on a PC and Mac®.",Diction,,https://tapor.ca/images/tools/0/188.jpg,0,82,,
,,,,,,,,,,63,,
,,,,,,,,,,79,,
189,"{""id"":189,""user_id"":1,""name"":""DiscoverText"",""detail"":""\u003cp\u003eDiscoverText is a cloud-based textual analytics tool available for purchase. It is designed to collect data from sources such as social media, blogs and a variety of document formats, and generate tag clouds and reports from the resulting corpus.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/189.jpg"",""creators_name"":""Textifter, LLC."",""creators_email"":"""",""creators_url"":""http://discovertext.com/aboutdt/about.aspx"",""star_average"":0.0,""url"":""http://discovertext.com/"",""last_updated"":""2018-10-06"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/189-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://discovertext.com/,DiscoverText,"DiscoverText is a cloud-based textual analytics tool available for purchase. It is designed to collect data from sources such as social media, blogs and a variety of document formats, and generate tag clouds and reports from the resulting corpus.",discovertext,,https://tapor.ca/images/tools/0/189.jpg,0,79,,
,,,,,,,,,,81,,
,,,,,,,,,,86,,
191,"{""id"":191,""user_id"":1,""name"":""Pressbooks"",""detail"":""\u003cp\u003ePressbooks is a platform for collaboratively creating ebooks built over WordPress available as both a free service and on a subscription basis. Subscriptions are only required for users wanting to manage more than 5 books. eBooks can be generated in a variety of formats from several provided templates. Pressbooks integrates functionality for importing material from WordPress, Blogger and Tumblr, and assists in collaborative authoring with workflow management tools.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/191.jpg"",""creators_name"":""PressBooks"",""creators_email"":"""",""creators_url"":""http://pressbooks.com/"",""star_average"":0.0,""url"":""http://pressbooks.com/"",""last_updated"":""2018-10-19"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/191-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://pressbooks.com/,Pressbooks,"Pressbooks is a platform for collaboratively creating ebooks built over WordPress available as both a free service and on a subscription basis. Subscriptions are only required for users wanting to manage more than 5 books. eBooks can be generated in a variety of formats from several provided templates. Pressbooks integrates functionality for importing material from WordPress, Blogger and Tumblr, and assists in collaborative authoring with workflow management tools.",Pressbooks,,https://tapor.ca/images/tools/0/191.jpg,0,65,,
,,,,,,,,,,81,,
,,,,,,,,,,85,,
,,,,,,,,,,86,,
192,"{""id"":192,""user_id"":null,""name"":""Tesseract OCR"",""detail"":""\u003cp\u003eTesseract is a free raw OCR engine originally developed by HP Labs and now maintained by Google. It works with the Leptonica Image Processing Library, and is capable of reading a variety of image formats. It can convert images to text in over 40 languages.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/192.jpg"",""creators_name"":""HP Labs, Google"",""creators_email"":"""",""creators_url"":""http://google.com"",""star_average"":0.0,""url"":""http://code.google.com/p/tesseract-ocr/"",""last_updated"":""2017-01-16"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/192-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://code.google.com/p/tesseract-ocr/,Tesseract OCR,"Tesseract is a free raw OCR engine originally developed by HP Labs and now maintained by Google. It works with the Leptonica Image Processing Library, and is capable of reading a variety of image formats. It can convert images to text in over 40 languages.",Tesseract,Q945242,https://tapor.ca/images/tools/0/192.jpg,0,91,,
197,"{""id"":197,""user_id"":1,""name"":""Mallet"",""detail"":""\u003cp\u003eMallet is a Java based library and command line framework that provides statistical and machine learning tools for use with natural language processing.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/197.jpg"",""creators_name"":""Andrew McCallum"",""creators_email"":""mccallum@cs.umass.edu"",""creators_url"":""http://people.cs.umass.edu/~mccallum/"",""star_average"":5.0,""url"":""http://mallet.cs.umass.edu/"",""last_updated"":""2013-11-06"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/197-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,http://mallet.cs.umass.edu/,Mallet,Mallet is a Java based library and command line framework that provides statistical and machine learning tools for use with natural language processing.,MALLET,,https://tapor.ca/images/tools/0/197.jpg,5,63,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
201,"{""id"":201,""user_id"":null,""name"":""TUSTEP"",""detail"":""\u003cp\u003eTUSTEP (Tubingen System of Text Processing Tools) is a free, open source, widely-used toolbox for text processing. It is aimed at scholarly audiences, can work with texts in both latin and non-latin scripts, and is primarily designed for humanites applications. Its modules include data capture, information retrieval, text collation, text analysis, sorting and ordering, rule-based textual manipulation, data export and typesetting. The user manual is only available in German at this time. This tool has been in continuous development since the 1960s.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/201.jpg"",""creators_name"":""TUSTEP"",""creators_email"":""tustep@zdv.uni-tuebingen.de"",""creators_url"":""http://www.tustep.uni-tuebingen.de/tustep_eng.html"",""star_average"":5.0,""url"":""http://www.tustep.uni-tuebingen.de/tustep_eng.html"",""last_updated"":""2018-11-23"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/201-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,http://www.tustep.uni-tuebingen.de/tustep_eng.html,TUSTEP,"TUSTEP (Tubingen System of Text Processing Tools) is a free, open source, widely-used toolbox for text processing. It is aimed at scholarly audiences, can work with texts in both latin and non-latin scripts, and is primarily designed for humanites applications. Its modules include data capture, information retrieval, text collation, text analysis, sorting and ordering, rule-based textual manipulation, data export and typesetting. The user manual is only available in German at this time. This tool has been in continuous development since the 1960s.",TUSTEP,Q1309503,https://tapor.ca/images/tools/0/201.jpg,5,63,,
,,,,,,,,,,79,,
,,,,,,,,,,81,,
,,,,,,,,,,82,,
,,,,,,,,,,85,,
,,,,,,,,,,86,,
204,"{""id"":204,""user_id"":null,""name"":""Pattern (CLiPS)"",""detail"":""\u003cp\u003ePattern (CLiPS) is a web mining module for Python designed for computational linguistic and psycholinguistic research. It integrates tools for data retrieval from search engines, social media, web spiders and individual websites, and can accomplish text analysis, natural language processing and data visualization.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/204.jpg"",""creators_name"":""CLiPS (Computational Linguistics \u0026 Psycholinguistics Research Centre)"",""creators_email"":""walter.daelemans@ua.ac.be"",""creators_url"":""http://www.clips.ua.ac.be/"",""star_average"":0.0,""url"":""http://www.clips.ua.ac.be/pages/pattern"",""last_updated"":""2013-11-06"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/204-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://www.clips.ua.ac.be/pages/pattern,Pattern (CLiPS),"Pattern (CLiPS) is a web mining module for Python designed for computational linguistic and psycholinguistic research. It integrates tools for data retrieval from search engines, social media, web spiders and individual websites, and can accomplish text analysis, natural language processing and data visualization.",Pattern,,https://tapor.ca/images/tools/0/204.jpg,0,79,,
,,,,,,,,,,82,,
,,,,,,,,,,4,,
,,,,,,,,,,63,,
